Tanggal,tt_air_avg,tt_air_max,tt_air_min,rh_avg,pp_air,sr_avg,sr_max,ws_max,ws_avg,wd_avg,rr
2023-01-01,27.02181034482759,32.14639097744361,24.193664122137406,82.35375,994.594067361111,190.47662237762236,558.8619047619047,2.2096180555555556,1.044638888888889,186.225625,0.8291666666666667
2023-01-02,26.50639344262295,30.305036496350365,23.9115,83.41729166666667,995.35415625,181.8422361111111,904.1286713286713,2.83275,1.3028125,241.7411111111111,4.298611111111111
2023-01-03,26.13205128205128,29.333858267716536,24.333356643356645,84.44069444444445,994.8830541666666,176.0040138888889,460.61875,2.4836597222222223,1.1728541666666665,226.65993055555555,4.338888888888889
2023-01-04,25.909268292682928,30.08620437956204,24.039492753623186,85.13583333333332,994.8566298611111,199.1245416666667,697.6884615384616,2.973215277777778,1.3831944444444444,205.32305555555556,11.07638888888889
2023-01-05,25.604742268041235,29.463478260869564,25.145,86.29,995.8682136363636,173.9592803030303,677.4837209302325,2.7191363636363635,1.2941742424242424,192.79401515151517,5.251515151515151
2023-01-06,26.0198347107438,30.19911111111111,23.42822580645161,85.00739436619718,995.5949253521128,216.2051870503597,620.1750000000001,2.4691901408450705,1.1653239436619718,220.2725352112676,5.52112676056338
2023-01-07,26.60353982300885,31.1878125,24.55462686567164,84.33713286713287,994.6178881118882,215.4410507246377,486.1529411764706,2.3504755244755247,1.170986013986014,199.6390909090909,6.34965034965035
2023-01-08,27.007521367521367,30.86549618320611,24.179272727272725,81.97565217391303,995.7723355072465,266.45561481481485,721.2,2.2070217391304348,1.0793260869565218,206.86673913043478,0.3304347826086957
2023-01-09,27.532636363636364,30.83230769230769,24.349999999999998,78.17,996.5803227941176,254.23039705882354,691.8708333333334,1.939294117647059,0.8937132352941176,225.80625,0.0014705882352941176
2023-01-10,26.54830357142857,30.660526315789472,24.23488372093023,84.939375,996.4993840277779,202.16387412587414,515.33125,2.2060138888888887,1.0450694444444446,198.35631944444447,0.3041666666666667
2023-01-11,26.06609375,30.488370370370372,23.91676056338028,80.93825174825174,996.0298223776224,195.87872727272728,482.04761904761904,2.0055454545454547,0.9666013986013985,205.36342657342658,0.17482517482517482
2023-01-12,30.176190476190477,31.069999999999997,24.22,64.15021739130434,996.0657565217391,679.8105263157895,787.9882352941177,3.1713478260869565,1.5837173913043479,204.7391304347826,0.0
2023-01-13,27.13439655172414,31.794782608695655,24.754255319148935,77.47349650349649,995.2775657342657,235.13937313432837,560.7333333333333,2.3783916083916083,1.1361118881118881,207.1048951048951,0.0
2023-01-14,27.561111111111114,31.679642857142856,24.372244897959185,77.62860139860139,993.6243972027972,239.1336204379562,611.5785714285714,2.5852237762237764,1.3196013986013986,201.5567132867133,0.0
2023-01-15,27.279557522123895,30.90605633802817,25.787459016393445,79.52274647887323,993.1268584507042,228.53473943661973,653.623076923077,2.387718309859155,1.1420704225352114,197.7818309859155,0.29014084507042254
2023-01-16,26.045233644859813,30.923,24.25091743119266,87.20288732394366,994.1949225352113,134.816615942029,568.2130434782608,1.6422042253521127,0.7510845070422535,176.43232394366197,1.4830985915492958
2023-01-17,26.310458715596333,29.888828125,24.406946564885494,85.19549295774648,995.3705887323943,158.90354676258994,469.62777777777774,1.8819647887323943,0.8747112676056338,187.47028169014084,0.48169014084507045
2023-01-18,26.494628099173553,30.367697841726617,24.82392857142857,82.79104895104895,995.2683146853147,186.4937832167832,654.5500000000001,2.0666573426573427,0.9617762237762237,191.95881118881118,0.0
2023-01-19,26.98391666666667,31.285755395683456,24.900354609929078,80.90314685314685,994.7156958041959,254.8958111888112,699.51,2.3153356643356644,1.1225944055944057,172.81678321678322,0.0
2023-01-20,25.68912408759124,31.372230215827337,24.16986013986014,84.79451388888889,994.5792847222222,169.89321830985915,641.7133333333334,1.8707361111111114,0.8603888888888889,185.7998611111111,0.3194444444444444
2023-01-21,26.768196721311472,31.810364963503645,24.12272727272727,79.8601388888889,993.2030388888888,209.69223529411764,697.8526315789474,1.8521597222222224,0.8681944444444444,179.34993055555555,0.18472222222222223
2023-01-22,25.879516129032258,30.65560975609756,23.858368794326243,87.19770833333332,992.4769826388888,188.9695251798561,294.2894736842105,2.079548611111111,0.9895486111111111,206.03944444444446,7.468055555555556
2023-01-23,27.31377049180328,31.94121428571428,23.8582,78.65145833333332,991.4840895833333,263.44987142857144,667.9388888888889,2.137486111111111,1.0704305555555556,202.04062499999998,0.06527777777777778
2023-01-24,27.97083333333333,32.07617021276596,24.555999999999997,78.12743055555556,991.6164715277778,238.31123913043479,587.1857142857143,2.4692986111111113,1.1901319444444445,200.46409722222222,0.08055555555555555
2023-01-25,25.852068965517244,30.16045112781955,23.867943262411348,86.88262411347519,992.5380460992908,185.99395714285714,714.475,2.6721843971631207,1.2549432624113475,193.09709219858155,11.472340425531915
2023-01-26,25.69528455284553,30.295669291338584,23.88125874125874,87.17041666666665,992.9574770833333,165.5047777777778,417.484375,2.1076319444444445,0.9609583333333332,174.4788888888889,17.884722222222223
2023-01-27,26.07391304347826,30.01840909090909,23.726756756756757,86.68286713286713,991.6853475524475,132.0911205673759,457.671875,1.7542867132867133,0.8363776223776224,140.48125874125873,0.0
2023-01-28,25.147421875,30.42128787878788,23.719790209790208,89.66125874125873,991.59126993007,113.72528671328672,763.0419580419581,1.3365664335664336,0.5814265734265734,119.94174825174827,1.3860139860139862
2023-01-29,25.845859375,31.657835820895528,23.745804195804197,89.1327972027972,992.633758041958,162.7500839160839,617.1434782608695,1.2707342657342657,0.5780559440559441,108.23202797202798,21.847552447552445
2023-01-30,26.458971962616825,30.231796874999997,24.321489361702127,88.7948611111111,993.6149388888888,137.20861538461537,329.752380952381,1.7099930555555556,0.78325,211.93284722222222,1.026388888888889
2023-01-31,25.710588235294118,31.342583333333334,24.13818181818182,88.28437500000001,993.0880305555555,185.53683333333333,326.7536944444444,2.2884861111111108,1.0770902777777778,192.1403472222222,2.536111111111111
