level_0,index,Tanggal,tt_air_max,tt_air_avg,tt_air_min,rh_avg,pp_air,rr,ws_avg,ws_max,wd_avg,Arah_Mata_Angin,sr_avg,sr_max
0,0,2023-01-01 00:00:00,31.12,24.27,22.69,91.0,995.9,0.0,0.948,1.499,68.92,E,117.9,
1,1,2023-01-01 00:10:00,,24.52,24.26,91.0,995.9526,0.0,1.015,1.897,68.84,E,138.8,156.0
2,2,2023-01-01 00:20:00,,24.75,24.26,88.9,996.0287,0.0,1.229,1.765,83.5,E,168.8,205.9
3,3,2023-01-01 00:30:00,,25.09,24.26,88.9,996.168,0.0,0.872,1.765,80.8,E,139.2,205.9
4,4,2023-01-01 00:40:00,,,24.26,88.4,996.3016,0.0,0.948,1.918,75.05,E,163.6,205.9
5,5,2023-01-01 00:50:00,,25.36,24.26,87.3,996.4606,0.0,1.025,2.407,81.6,E,167.8,205.9
6,6,2023-01-01 01:00:00,,25.53,24.26,84.8,996.5479,0.0,0.918,2.081,71.51,E,208.3,228.1
7,7,2023-01-01 01:10:00,,,24.26,81.0,996.6586,0.0,0.963,2.06,85.2,E,286.2,394.1
8,8,2023-01-01 01:20:00,,26.38,24.26,78.95,996.6826,0.0,1.206,2.111,81.3,E,465.8,599.5
9,9,2023-01-01 01:30:00,,27.12,24.26,77.78,996.7031,0.0,0.807,1.499,103.8,E,426.7,670.2
10,10,2023-01-01 01:40:00,,,24.26,75.74,996.6181,0.0,0.733,1.683,90.4,E,350.5,670.2
11,11,2023-01-01 01:50:00,,27.4,24.26,75.62,996.5907,0.0,0.598,1.173,78.08,E,284.0,670.2
12,12,2023-01-01 02:00:00,28.18,27.81,24.26,72.73,996.4531,0.0,0.531,1.265,89.2,E,388.1,670.2
13,13,2023-01-01 02:10:00,28.18,27.85,24.26,67.92,996.4211,0.0,0.489,1.255,215.7,SW,397.3,670.2
14,14,2023-01-01 02:20:00,28.87,28.26,24.26,66.73,996.4491,0.0,0.693,1.744,186.2,S,507.2,670.2
15,15,2023-01-01 02:30:00,29.02,28.7,24.26,65.28,996.4319,0.0,1.028,1.948,163.3,S,512.3,670.2
16,16,2023-01-01 02:40:00,29.16,28.78,24.26,65.51,996.4514,0.0,0.783,2.152,266.6,W,455.3,670.2
17,17,2023-01-01 02:50:00,29.16,29.0,24.26,64.63,996.5076,0.0,0.962,2.693,194.0,S,432.5,670.2
18,18,2023-01-01 03:00:00,29.47,29.26,24.26,63.87,996.5285,0.0,0.951,2.499,187.9,S,584.3,768.0
19,19,2023-01-01 03:10:00,29.6,29.47,24.26,62.5,996.4471,0.0,1.513,4.029,199.1,S,624.2,853.0
20,20,2023-01-01 03:20:00,29.93,29.58,24.26,62.02,996.4146,0.0,1.3,2.662,269.9,W,849.0,941.0
21,21,2023-01-01 03:30:00,30.1,29.93,24.26,62.02,996.3111,0.0,1.605,2.978,244.8,SW,744.2,941.0
22,22,2023-01-01 03:40:00,30.1,29.74,24.26,61.79,996.1536,0.0,1.641,3.019,245.7,SW,643.0,
23,23,2023-01-01 03:50:00,30.48,30.06,24.26,62.24,995.9787,0.0,1.876,3.611,247.6,W,944.0,
24,24,2023-01-01 04:00:00,30.67,30.26,24.26,62.0,995.747,0.0,1.786,3.274,263.8,W,941.0,
25,25,2023-01-01 04:10:00,30.87,30.59,24.26,60.99,995.4427,0.0,1.938,3.876,237.1,SW,,
26,26,2023-01-01 04:20:00,30.87,30.4,24.26,61.33,995.2938,0.0,1.549,2.713,249.5,W,474.8,
27,27,2023-01-01 04:30:00,30.92,30.56,24.26,58.49,995.0534,0.0,2.039,4.376,251.5,W,718.0,
28,28,2023-01-01 04:40:00,31.07,30.9,24.26,55.99,994.6998,0.0,2.041,4.61,253.0,W,767.2,
29,29,2023-01-01 04:50:00,31.81,31.32,24.26,55.79,994.3624,0.0,1.692,3.376,261.4,W,576.5,
30,30,2023-01-01 05:00:00,31.98,31.63,24.26,54.45,994.0006,0.0,2.036,4.733,252.4,W,619.1,
31,31,2023-01-01 05:10:00,31.98,31.51,24.26,54.45,993.7178,0.0,2.163,5.396,275.8,W,860.0,
32,32,2023-01-01 05:20:00,32.06,31.72,24.26,54.93,993.3299,0.0,1.505,3.488,218.7,SW,600.2,
33,33,2023-01-01 05:30:00,32.06,31.66,24.26,54.07,993.1288,0.0,1.852,3.978,268.2,W,870.0,
34,34,2023-01-01 05:40:00,32.16,31.87,24.26,53.97,993.0178,0.0,1.915,3.815,279.5,W,846.0,
35,35,2023-01-01 05:50:00,32.41,32.22,24.26,54.03,992.8684,0.0,1.412,3.142,276.2,W,784.8,
36,36,2023-01-01 06:00:00,32.53,32.04,24.26,54.64,992.6376,0.0,1.536,3.295,256.7,W,514.7,
37,37,2023-01-01 06:10:00,32.53,32.27,24.26,53.5,992.5018,0.0,1.419,3.437,261.4,W,550.5,
38,38,2023-01-01 06:20:00,32.53,32.12,24.26,52.19,992.3734,0.0,1.971,3.794,289.5,W,700.5,
39,39,2023-01-01 06:30:00,32.53,32.08,24.26,53.48,992.2893,0.0,1.876,3.703,265.2,W,667.7,
40,40,2023-01-01 06:40:00,32.53,31.8,24.26,56.6,992.2344,0.0,1.729,3.529,244.1,SW,447.5,
41,41,2023-01-01 06:50:00,32.53,30.96,24.26,66.39,992.3183,0.0,2.641,5.885,213.1,SW,404.3,
42,42,2023-01-01 07:00:00,32.53,30.24,24.26,69.74,992.3841,0.0,2.811,4.61,212.0,SW,431.6,
43,43,2023-01-01 07:10:00,32.53,29.92,24.26,70.95,992.2541,0.0,2.729,5.049,220.1,SW,434.6,
44,44,2023-01-01 07:20:00,32.53,29.68,24.26,71.87,992.1993,0.0,2.459,4.835,224.1,SW,332.3,
45,45,2023-01-01 07:30:00,32.53,29.11,24.26,73.79,992.2445,0.0,2.578,4.957,228.6,SW,297.7,
46,46,2023-01-01 07:40:00,32.53,29.05,24.26,74.74,992.2868,0.0,1.993,4.151,218.1,SW,313.3,
47,47,2023-01-01 07:50:00,32.53,29.03,24.26,74.76,992.1879,0.0,2.164,3.968,221.5,SW,302.6,
48,48,2023-01-01 08:00:00,32.53,28.83,24.26,75.58,992.1601,0.0,2.262,4.213,226.7,SW,333.2,
49,49,2023-01-01 08:10:00,32.53,28.78,24.26,75.44,992.3688,0.0,2.681,5.345,227.3,SW,379.4,
50,50,2023-01-01 08:20:00,32.53,28.85,24.26,75.06,992.4839,0.0,3.278,5.335,220.8,SW,321.2,
51,51,2023-01-01 08:30:00,32.53,28.62,24.26,75.38,992.5042,0.0,2.839,4.723,229.5,SW,321.7,
52,52,2023-01-01 08:40:00,32.53,28.49,24.26,75.85,992.405,0.0,3.007,5.069,227.6,SW,305.3,
53,53,2023-01-01 08:50:00,32.53,28.73,24.26,75.95,992.3888,0.0,2.548,4.029,229.9,SW,340.7,
54,54,2023-01-01 09:00:00,32.53,28.71,24.26,75.92,992.3903,0.0,2.96,5.62,230.9,SW,297.3,
55,55,2023-01-01 09:10:00,32.53,28.51,24.26,76.99,992.5046,0.0,2.705,4.876,226.6,SW,241.7,
56,56,2023-01-01 09:20:00,32.53,28.39,24.26,77.28,992.683,0.0,2.329,5.12,226.8,SW,216.9,
57,57,2023-01-01 09:30:00,32.53,28.18,24.26,76.02,992.8861,0.0,2.678,5.11,219.5,SW,202.0,
58,58,2023-01-01 09:40:00,32.53,28.06,24.26,76.01,993.1146,0.0,2.391,5.273,225.9,SW,176.3,
59,59,2023-01-01 09:50:00,32.53,27.93,24.26,76.68,993.3147,0.0,2.481,4.916,227.3,SW,98.0,
60,60,2023-01-01 10:00:00,32.53,,24.26,78.27,993.4674,0.0,1.696,4.182,226.7,SW,48.16,
61,61,2023-01-01 10:10:00,32.53,,24.26,79.14,993.5949,0.0,2.099,4.468,246.6,SW,31.64,
62,62,2023-01-01 10:20:00,32.53,,24.26,80.3,993.7693,0.0,1.777,3.295,231.9,SW,23.34,
63,63,2023-01-01 10:30:00,32.53,,24.26,81.5,993.9756,0.0,1.598,3.213,235.9,SW,14.53,
64,64,2023-01-01 10:40:00,32.53,,24.26,82.5,994.151,0.0,1.796,4.141,235.5,SW,10.18,
65,65,2023-01-01 10:50:00,32.53,,24.26,83.5,994.2808,0.0,1.618,3.274,233.2,SW,5.965,
66,66,2023-01-01 11:00:00,32.53,26.83,24.26,83.8,994.3107,0.0,1.62,3.233,237.0,SW,1.107,
67,67,2023-01-01 11:10:00,32.53,26.74,24.26,84.6,994.373,0.0,1.485,3.07,228.4,SW,0.0,
68,68,2023-01-01 11:20:00,32.53,26.66,24.26,84.9,994.4998,0.0,1.208,2.917,238.4,SW,0.0,
69,69,2023-01-01 11:30:00,32.53,26.65,24.26,84.8,994.5706,0.0,1.029,2.162,244.8,SW,0.0,
70,70,2023-01-01 11:40:00,32.53,26.48,24.26,85.7,994.641,0.0,0.78,1.346,232.3,SW,0.0,
71,71,2023-01-01 11:50:00,32.53,26.38,24.26,86.1,994.8126,0.0,0.667,1.265,231.9,SW,0.0,
72,72,2023-01-01 12:00:00,32.53,26.25,24.26,86.8,994.9044,0.0,0.746,1.571,224.7,SW,0.0,
73,73,2023-01-01 12:10:00,32.53,,24.26,87.1,995.0501,0.0,1.303,2.438,222.0,SW,0.0,
74,74,2023-01-01 12:20:00,32.53,,24.26,86.1,995.3101,0.0,1.576,2.948,226.1,SW,0.0,
75,75,2023-01-01 12:30:00,32.53,26.31,24.26,85.9,995.5473,0.0,1.524,2.887,226.9,SW,0.0,
76,76,2023-01-01 12:40:00,32.53,26.31,24.26,85.9,995.6974,0.0,1.362,2.683,233.7,SW,0.0,
77,77,2023-01-01 12:50:00,32.53,,24.26,85.5,995.7308,0.0,1.093,2.193,234.3,SW,0.0,
78,78,2023-01-01 13:00:00,32.53,,24.26,85.2,995.6855,0.0,1.272,2.336,240.4,SW,0.0,
79,79,2023-01-01 13:10:00,32.53,,24.26,85.7,995.6746,0.0,1.201,2.683,245.6,SW,0.0,
80,80,2023-01-01 13:20:00,32.53,,24.26,86.2,995.7686,0.0,0.944,2.02,237.6,SW,0.0,
81,81,2023-01-01 13:30:00,32.53,26.24,24.26,86.5,995.8821,0.0,1.039,1.958,232.8,SW,0.0,
82,82,2023-01-01 13:40:00,32.53,26.12,24.26,87.3,995.9526,0.0,0.927,1.958,232.5,SW,0.0,
83,83,2023-01-01 13:50:00,32.53,25.97,24.26,88.3,996.0398,0.0,0.788,1.714,242.9,SW,0.0,
84,84,2023-01-01 14:00:00,32.53,25.95,24.26,88.4,996.1018,0.0,0.473,0.979,250.9,W,0.0,
85,85,2023-01-01 14:10:00,32.53,25.94,24.26,88.7,996.0225,0.0,0.648,1.173,257.1,W,0.0,
86,86,2023-01-01 14:20:00,32.53,,24.26,88.8,995.918,0.0,0.675,1.112,259.3,W,0.0,
87,87,2023-01-01 14:30:00,32.53,25.94,24.26,89.2,995.8386,0.0,0.425,0.877,232.8,SW,0.0,
88,88,2023-01-01 14:40:00,32.53,,24.26,91.0,995.7502,0.0,0.173,0.622,225.1,SW,0.0,
89,89,2023-01-01 14:50:00,32.53,,24.26,91.2,995.7531,0.0,0.442,0.775,41.83,NE,0.0,
90,90,2023-01-01 15:00:00,32.53,25.53,24.26,92.0,995.7084,0.0,0.493,0.959,63.74,NE,0.0,
91,91,2023-01-01 15:10:00,32.53,25.45,24.26,92.1,995.5374,0.0,0.267,0.826,144.1,SE,0.0,
92,92,2023-01-01 15:20:00,32.53,25.59,24.26,91.7,995.59,0.0,0.597,1.397,227.6,SW,0.0,
93,93,2023-01-01 15:30:00,32.53,,24.26,91.4,995.5108,0.2,0.413,0.826,283.5,W,0.0,
94,94,2023-01-01 15:40:00,32.53,25.59,24.26,92.7,995.4582,0.8,0.247,0.918,240.8,SW,0.0,
95,95,2023-01-01 15:50:00,32.53,,24.26,93.5,995.3959,1.0,0.159,0.785,234.1,SW,0.0,
96,96,2023-01-01 16:00:00,32.53,25.38,24.26,94.1,995.3396,1.2,0.275,0.653,269.0,W,0.0,
97,97,2023-01-01 16:10:00,32.53,25.36,24.26,94.5,995.3248,1.2,0.0,0.0,205.4,SW,0.0,
98,98,2023-01-01 16:20:00,32.53,25.29,24.26,95.1,995.1496,1.2,0.077,0.469,152.1,SE,0.0,
99,99,2023-01-01 16:30:00,32.53,25.25,24.26,95.3,995.0162,1.4,0.265,0.643,215.9,SW,0.0,
100,100,2023-01-01 16:40:00,32.53,25.25,24.26,95.2,994.9686,1.8,0.193,0.806,269.3,W,0.0,
101,101,2023-01-01 16:50:00,32.53,,24.26,95.2,994.9478,2.0,0.127,0.826,255.6,W,0.0,
102,102,2023-01-01 17:00:00,32.53,,24.26,95.0,995.0121,2.2,0.205,0.959,267.6,W,0.0,
103,103,2023-01-01 17:10:00,32.53,25.22,24.26,95.1,994.8796,2.4,0.096,0.836,215.9,SW,0.0,
104,104,2023-01-01 17:20:00,32.53,,24.26,95.1,994.7965,2.6,0.05,0.479,158.3,S,0.0,
105,105,2023-01-01 17:30:00,32.53,,24.26,95.6,994.5873,2.6,0.079,0.428,112.4,E,0.0,
106,106,2023-01-01 17:40:00,32.53,24.99,24.26,95.8,994.421,2.6,0.0,0.0,108.4,E,0.0,
107,107,2023-01-01 17:50:00,32.53,24.88,24.26,96.0,994.2801,2.6,0.094,0.734,91.5,E,0.0,
108,108,2023-01-01 18:00:00,32.53,24.78,24.26,96.1,994.1118,2.6,0.381,0.775,115.5,SE,0.0,
109,109,2023-01-01 18:10:00,32.53,24.78,24.26,96.2,994.0173,2.6,0.121,0.755,204.4,SW,0.0,
110,110,2023-01-01 18:20:00,32.53,24.79,24.26,96.1,993.9211,2.6,0.529,1.173,121.9,SE,0.0,
111,111,2023-01-01 18:30:00,32.53,24.72,24.26,96.2,993.6591,2.6,0.526,1.326,57.63,NE,0.0,
112,112,2023-01-01 18:40:00,32.53,,24.26,96.2,993.5278,2.6,0.231,0.663,131.0,SE,0.0,
113,113,2023-01-01 18:50:00,32.53,24.6,24.26,95.9,993.3856,2.6,0.158,0.775,116.7,SE,0.0,
114,114,2023-01-01 19:00:00,32.53,24.51,24.26,95.5,993.3238,2.6,0.124,0.857,147.5,SE,0.0,
115,115,2023-01-01 19:10:00,32.53,24.38,24.25,95.5,993.3958,2.6,0.101,0.52,52.65,NE,0.0,
116,116,2023-01-01 19:20:00,32.53,24.27,24.13,95.5,993.4842,2.6,0.11,0.571,208.2,SW,0.0,
117,117,2023-01-01 19:30:00,32.53,24.18,24.05,95.5,993.4586,2.6,0.113,0.5,187.4,S,0.0,
118,118,2023-01-01 19:40:00,32.53,24.12,,96.0,993.4642,2.6,0.203,0.734,86.2,E,0.0,
119,119,2023-01-01 19:50:00,32.53,24.06,23.94,96.1,993.5356,2.6,0.04,0.316,14.61,N,0.0,
120,120,2023-01-01 20:00:00,32.53,23.98,23.9,96.0,993.4968,2.6,0.0,0.0,201.7,S,0.0,
121,121,2023-01-01 20:10:00,32.53,23.92,23.79,96.0,993.4446,2.6,0.04,0.388,216.3,SW,0.0,
122,122,2023-01-01 20:20:00,32.53,23.85,23.75,96.1,993.4154,2.6,0.075,0.806,117.2,SE,0.0,
123,123,2023-01-01 20:30:00,32.53,23.84,23.75,96.2,993.4216,2.6,0.174,0.887,188.0,S,0.0,
124,124,2023-01-01 20:40:00,32.53,23.8,23.69,96.2,993.6479,2.6,0.0,0.0,201.7,S,0.0,
125,125,2023-01-01 20:50:00,32.53,23.85,23.69,96.3,993.7793,2.6,0.206,0.653,111.7,E,0.0,
126,126,2023-01-01 21:00:00,32.53,,23.69,96.2,993.9823,2.6,0.118,0.602,113.2,SE,0.0,
127,127,2023-01-01 21:10:00,32.53,23.87,23.69,96.2,994.1571,2.6,0.179,0.53,75.38,E,0.0,
128,128,2023-01-01 21:20:00,32.53,23.87,23.69,96.3,994.1091,2.6,0.324,1.04,98.6,E,0.0,
129,129,2023-01-01 21:30:00,32.53,23.85,23.69,96.2,994.0704,2.6,0.475,1.673,94.6,E,0.0,
130,130,2023-01-01 21:40:00,32.53,23.86,23.69,96.1,994.3094,2.6,0.224,0.765,58.53,NE,0.0,
131,131,2023-01-01 21:50:00,32.53,23.74,23.65,95.8,994.4011,2.6,0.547,1.0,35.93,NE,0.0,
132,132,2023-01-01 22:00:00,32.53,23.75,,95.8,994.4573,2.6,0.473,1.0,89.4,E,0.0,
133,133,2023-01-01 22:10:00,32.53,23.77,,95.5,994.6053,2.6,0.437,1.102,60.88,NE,0.0,
134,134,2023-01-01 22:20:00,32.53,23.79,,95.5,994.7881,2.6,0.129,0.561,52.26,NE,0.0,
135,135,2023-01-01 22:30:00,32.53,23.84,,95.7,995.0098,2.6,0.087,0.428,118.8,SE,0.703,
136,136,2023-01-01 22:40:00,32.53,23.79,,95.7,995.1826,2.6,0.368,0.949,83.4,E,4.221,
137,137,2023-01-01 22:50:00,32.53,,,95.8,995.335,2.6,0.181,0.898,154.9,SE,7.951,
138,138,2023-01-01 23:00:00,32.53,23.91,,95.4,995.5693,2.6,0.109,0.928,187.1,S,11.04,
139,139,2023-01-01 23:10:00,32.53,,,95.2,995.6775,2.6,0.237,0.653,95.4,E,31.46,
140,140,2023-01-01 23:20:00,32.53,24.09,,95.1,995.7461,2.6,0.292,0.816,62.64,NE,67.06,
141,141,2023-01-01 23:30:00,32.53,24.3,,94.5,995.8199,2.6,0.11,0.459,162.2,S,88.8,
142,142,2023-01-01 23:40:00,32.53,24.52,,92.5,995.8718,2.6,0.485,0.928,62.91,NE,87.9,
143,143,2023-01-01 23:50:00,32.53,24.72,,91.6,996.0267,2.6,0.273,0.785,186.4,S,116.5,
144,144,2023-01-02 00:00:00,32.53,,,90.1,996.1066,2.6,0.611,1.153,161.8,S,159.9,
145,145,2023-01-02 00:10:00,,25.4,,88.7,996.1422,0.0,0.681,1.51,187.5,S,237.1,325.9
146,146,2023-01-02 00:20:00,,,,85.7,996.2213,0.0,0.431,1.265,230.3,SW,302.8,344.8
147,147,2023-01-02 00:30:00,,26.23,,83.0,996.3473,0.0,0.481,1.285,268.3,W,308.4,344.8
148,148,2023-01-02 00:40:00,,,,81.8,996.4678,0.0,0.471,1.122,266.6,W,293.5,344.8
149,149,2023-01-02 00:50:00,,,,81.1,996.8091,0.0,0.704,1.601,301.7,NW,307.6,361.5
150,150,2023-01-02 01:00:00,,26.74,,81.4,997.0166,0.0,0.748,1.601,262.0,W,347.0,513.1
151,151,2023-01-02 01:10:00,,,,80.6,997.0661,0.0,0.9,1.744,281.6,W,329.0,513.1
152,152,2023-01-02 01:20:00,27.77,,,78.49,996.9621,0.0,0.828,2.009,240.8,SW,443.3,513.1
153,153,2023-01-02 01:30:00,27.78,,,77.3,997.0113,0.0,1.418,2.744,215.9,SW,436.0,549.2
154,154,2023-01-02 01:40:00,28.33,27.96,,76.2,996.9333,0.0,1.104,2.54,214.1,SW,494.4,558.4
155,155,2023-01-02 01:50:00,28.58,28.42,,73.14,996.8756,0.0,1.11,2.693,233.1,SW,495.7,558.4
156,156,2023-01-02 02:00:00,28.6,28.48,,72.16,996.7741,0.0,1.608,3.805,271.7,W,451.6,558.4
157,157,2023-01-02 02:10:00,28.92,28.7,,71.33,996.6898,0.0,1.045,3.182,255.6,W,448.6,558.4
158,158,2023-01-02 02:20:00,28.93,28.72,,70.09,996.6459,0.0,1.336,3.794,231.8,SW,560.7,674.5
159,159,2023-01-02 02:30:00,28.99,28.85,,67.2,996.4656,0.0,1.931,4.457,287.2,W,544.4,674.5
160,160,2023-01-02 02:40:00,29.17,29.05,,66.58,996.2934,0.0,1.94,3.876,270.3,W,622.3,725.5
161,161,2023-01-02 02:50:00,29.6,29.33,,65.4,996.1228,0.0,1.986,5.08,281.1,W,753.8,828.0
162,162,2023-01-02 03:00:00,29.7,29.5,,63.71,995.823,0.0,2.195,4.478,264.8,W,713.7,828.0
163,163,2023-01-02 03:10:00,29.74,29.6,,61.74,995.6907,0.0,2.76,5.437,279.8,W,678.5,828.0
164,164,2023-01-02 03:20:00,29.99,29.76,,61.87,995.7478,0.0,2.286,5.09,276.2,W,662.4,828.0
165,165,2023-01-02 03:30:00,29.99,29.81,,62.2,995.8238,0.0,2.34,5.651,264.3,W,645.0,828.0
166,166,2023-01-02 03:40:00,29.99,29.63,,62.67,995.7793,0.0,2.291,4.753,287.4,W,591.9,828.0
167,167,2023-01-02 03:50:00,30.12,29.87,,63.45,995.655,0.0,2.072,4.906,258.9,W,554.2,828.0
168,168,2023-01-02 04:00:00,30.18,29.8,,64.34,995.5381,0.0,2.491,6.263,256.7,W,690.6,898.0
169,169,2023-01-02 04:10:00,30.21,30.06,,63.2,995.4062,0.0,2.503,5.08,261.0,W,779.9,962.0
170,170,2023-01-02 04:20:00,30.35,29.98,,63.5,995.3827,0.0,3.323,7.344,255.6,W,649.9,962.0
171,171,2023-01-02 04:30:00,30.35,29.94,,63.16,995.3894,0.0,2.485,5.161,256.1,W,710.5,962.0
172,172,2023-01-02 04:40:00,30.39,30.13,,63.72,995.3061,0.0,2.613,5.029,262.6,W,745.9,962.0
173,173,2023-01-02 04:50:00,30.39,30.2,,63.58,995.1813,0.0,2.73,5.875,262.0,W,585.7,962.0
174,174,2023-01-02 05:00:00,30.39,30.07,,63.94,995.1213,0.0,2.735,4.702,252.6,W,542.1,962.0
175,175,2023-01-02 05:10:00,30.4,30.3,,62.49,995.0139,0.0,2.308,4.304,264.6,W,623.0,962.0
176,176,2023-01-02 05:20:00,30.45,30.05,,62.03,994.7692,0.0,3.068,6.569,261.4,W,530.1,962.0
177,177,2023-01-02 05:30:00,30.45,29.75,,64.4,994.5448,0.0,2.57,4.906,240.4,SW,504.8,962.0
178,178,2023-01-02 05:40:00,30.45,29.88,,65.99,994.4442,0.0,2.127,4.09,230.2,SW,556.3,962.0
179,179,2023-01-02 05:50:00,30.45,29.87,,67.08,994.3473,0.0,2.646,4.784,228.5,SW,623.9,962.0
180,180,2023-01-02 06:00:00,30.45,30.06,,66.44,994.1971,0.0,2.314,4.549,233.8,SW,551.5,962.0
181,181,2023-01-02 06:10:00,30.45,29.83,,66.63,994.0216,0.0,2.692,4.559,234.0,SW,476.0,962.0
182,182,2023-01-02 06:20:00,30.45,29.53,,67.43,993.9543,0.0,2.812,4.835,226.5,SW,494.3,962.0
183,183,2023-01-02 06:30:00,30.45,29.61,,68.23,994.033,0.0,2.394,5.171,230.3,SW,476.9,962.0
184,184,2023-01-02 06:40:00,30.45,29.47,,68.75,994.0871,0.0,2.979,4.937,230.4,SW,464.8,962.0
185,185,2023-01-02 06:50:00,30.45,29.31,,67.7,993.9226,0.0,3.135,5.814,233.2,SW,429.6,962.0
186,186,2023-01-02 07:00:00,30.45,29.32,,68.57,993.8305,0.0,2.56,5.335,236.7,SW,399.7,962.0
187,187,2023-01-02 07:10:00,30.45,29.02,,70.08,993.7076,0.0,3.726,6.508,238.6,SW,362.3,962.0
188,188,2023-01-02 07:20:00,30.45,28.71,,71.84,993.6846,0.0,3.019,6.946,238.7,SW,337.2,962.0
189,189,2023-01-02 07:30:00,30.45,28.83,,73.43,993.5465,0.0,2.602,5.273,239.5,SW,321.1,962.0
190,190,2023-01-02 07:40:00,30.45,28.55,,74.92,993.537,0.0,2.89,4.886,233.4,SW,299.4,962.0
191,191,2023-01-02 07:50:00,30.45,28.5,,75.91,993.4588,0.0,2.802,4.988,236.1,SW,277.2,962.0
192,192,2023-01-02 08:00:00,30.45,28.29,,76.46,993.3407,0.0,2.768,4.967,228.1,SW,235.3,962.0
193,193,2023-01-02 08:10:00,30.45,28.17,,77.2,993.3528,0.0,2.489,5.62,237.6,SW,201.5,962.0
194,194,2023-01-02 08:20:00,30.45,28.11,,77.17,993.3825,0.0,3.053,5.641,243.5,SW,182.9,962.0
195,195,2023-01-02 08:30:00,30.45,27.97,,76.74,993.3416,0.0,2.879,6.13,247.3,SW,144.0,962.0
196,196,2023-01-02 08:40:00,30.45,27.94,,76.71,993.366,0.0,2.62,4.896,243.5,SW,136.1,962.0
197,197,2023-01-02 08:50:00,30.45,27.85,,76.85,993.411,0.0,2.756,5.243,249.9,W,152.5,962.0
198,198,2023-01-02 09:00:00,30.45,27.89,,76.57,993.5826,0.0,2.446,4.712,236.9,SW,181.7,962.0
199,199,2023-01-02 09:10:00,30.45,27.95,,77.33,993.6258,0.0,1.781,3.417,245.8,SW,168.0,962.0
200,200,2023-01-02 09:20:00,30.45,27.98,,77.68,993.624,0.0,1.889,4.304,243.1,SW,150.8,962.0
201,201,2023-01-02 09:30:00,30.45,27.88,,78.55,993.8046,0.0,1.868,4.151,239.1,SW,111.7,962.0
202,202,2023-01-02 09:40:00,30.45,27.74,,78.33,993.7836,0.0,1.877,4.315,241.6,SW,102.7,962.0
203,203,2023-01-02 09:50:00,30.45,27.7,,78.12,993.8506,0.0,1.809,5.294,251.5,W,88.3,962.0
204,204,2023-01-02 10:00:00,30.45,27.61,,78.26,994.027,0.0,1.753,3.692,237.7,SW,54.91,962.0
205,205,2023-01-02 10:10:00,30.45,27.52,,78.55,994.0704,0.0,2.364,4.6,242.7,SW,52.95,962.0
206,206,2023-01-02 10:20:00,30.45,,,77.8,994.1794,0.0,2.781,4.61,245.1,SW,40.36,962.0
207,207,2023-01-02 10:30:00,30.45,,,78.43,994.3299,0.0,2.207,3.672,242.4,SW,20.44,962.0
208,208,2023-01-02 10:40:00,30.45,,,79.75,994.5934,0.0,1.698,3.672,248.9,W,8.86,962.0
209,209,2023-01-02 10:50:00,30.45,27.26,,80.5,994.8346,0.0,1.722,4.396,245.2,SW,5.854,962.0
210,210,2023-01-02 11:00:00,30.45,27.16,,81.6,994.8773,0.0,1.84,4.06,234.4,SW,0.96,962.0
211,211,2023-01-02 11:10:00,30.45,26.94,,83.6,994.9787,0.0,1.753,3.284,240.2,SW,0.0,962.0
212,212,2023-01-02 11:20:00,30.45,26.7,,85.1,995.1319,0.0,1.432,2.764,235.2,SW,0.0,962.0
213,213,2023-01-02 11:30:00,30.45,,,85.3,995.3422,0.0,1.448,3.091,237.4,SW,0.0,962.0
214,214,2023-01-02 11:40:00,30.45,26.49,,86.5,995.3648,0.0,1.236,2.193,229.2,SW,0.0,962.0
215,215,2023-01-02 11:50:00,30.45,26.31,,87.4,995.5342,0.0,1.066,2.53,237.5,SW,0.0,962.0
216,216,2023-01-02 12:00:00,30.45,,,87.4,995.7764,0.0,0.974,1.867,239.5,SW,0.0,962.0
217,217,2023-01-02 12:10:00,30.45,,,87.4,995.9025,0.0,0.871,1.693,252.6,W,0.0,962.0
218,218,2023-01-02 12:20:00,30.45,26.23,,87.4,996.1006,0.0,0.891,1.316,236.1,SW,0.0,962.0
219,219,2023-01-02 12:30:00,30.45,,,87.8,996.2643,0.0,0.685,1.397,264.2,W,0.0,962.0
220,220,2023-01-02 12:40:00,30.45,,,88.3,996.3248,0.0,0.769,1.489,238.8,SW,0.0,962.0
221,221,2023-01-02 12:50:00,30.45,,,88.3,996.5438,0.0,0.65,1.632,290.0,W,0.0,962.0
222,222,2023-01-02 13:00:00,30.45,25.95,,88.5,996.6765,0.0,0.651,2.213,275.6,W,0.0,962.0
223,223,2023-01-02 13:10:00,30.45,26.09,,86.7,996.7668,0.0,1.258,2.754,256.7,W,0.0,962.0
224,224,2023-01-02 13:20:00,30.45,,,86.9,996.8216,0.0,1.914,4.08,253.9,W,0.0,962.0
225,225,2023-01-02 13:30:00,30.45,25.62,,89.4,996.8451,0.0,1.463,2.734,269.0,W,0.0,962.0
226,226,2023-01-02 13:40:00,30.45,,,91.0,996.9454,0.0,0.97,1.958,268.3,W,0.0,962.0
227,227,2023-01-02 13:50:00,30.45,25.33,,91.7,996.9786,0.0,0.919,2.162,269.2,W,0.0,962.0
228,228,2023-01-02 14:00:00,30.45,25.18,24.76,92.4,996.9598,4.2,2.052,4.233,225.6,SW,0.0,962.0
